,Gene,feature_selected,gene_score
0,DYNLT1,1,-0.10642320897518069
1,YWHAB,1,-0.10010897149522002
2,ID1,1,-0.09872422718866537
3,APLN,1,-0.09270283817114236
4,THY1,1,-0.09015418847657422
5,CLDN7,1,-0.0883323531056399
6,EIF2S2,1,-0.07485250586610999
7,EVA1B,1,-0.07139728375218948
8,TMA7,1,-0.0669266604179003
9,KRT10,1,-0.06426415629549759
10,TRH,1,-0.05782150785437629
11,PDAP1,1,-0.054895222873130776
12,FABP5,1,-0.053189515870437805
13,VIM,1,-0.05261423765315611
14,ID3,1,-0.051536103089029804
15,ATF5,1,-0.04963434177433387
16,GNG5,1,-0.0487958125536536
17,RPS19BP1,1,-0.0457563276757408
18,ANP32E,1,-0.04562971611197021
19,KLK10,1,-0.04559703057445111
20,ARPC3,1,-0.04423106698940341
21,MAP1B,1,-0.044179659114357804
22,POMP,1,-0.04405842702434032
23,ACTR2,1,-0.043115317897075414
24,TUBA1C,1,-0.04068642169202639
25,IGFBP5,1,-0.040590497398983204
26,S100A3,1,-0.03985158989029563
27,HMGB3,1,-0.039539672033825
28,SLC4A11,1,-0.0385022830540772
29,PCAT14,1,-0.037634728859585284
30,PRR13,1,-0.03691888317387549
31,LITAF,1,-0.034231116910442894
32,MYL12B,1,-0.033790873574259896
33,IER2,1,-0.033345241535143594
34,DRAP1,1,-0.0319051841638657
35,BEX1,1,-0.03173913969867568
36,XRCC5,1,-0.03113900580910771
37,DPYSL2,1,-0.029096893614318196
38,SFRP1,1,-0.028785010938526794
39,SPCS3,1,-0.028729762522602106
40,EIF4EBP1,1,-0.02844182675809851
41,TP53I11,1,-0.02839449647125819
42,NTS,1,-0.027719557958129786
43,NAP1L1,1,-0.027620731396540605
44,GDF15,1,-0.027572122746074998
45,RAMP2,1,-0.02719240779337061
46,RGS10,1,-0.026754802079223997
47,HMGN1,1,-0.02636226999845419
48,CD81,1,-0.0243852962080021
49,OAZ1,1,-0.023167970361197592
