Gene,AbsoluteCoefficient
SLC7A5,0.0268670182634527
HMGA1,0.0249504425140452
CYP1B1,0.0159569828032828
S100A6,0.0150639218163153
TPM1,0.0138160072876477
TGM2,0.0130206297213989
FADS2,0.0127556510293616
ALDOA,0.0120382910827119
SLC3A2,0.0113810976894425
DBI,0.0112942327578585
PPIA,0.010775082305382
FGFR1,0.0101186499476202
EMP1,0.00918769668146424
CBX3,0.0078714274311999
PABPC3,0.00787006355196375
TUBB6,0.00681849426883516
C4BPB,0.00647572020633174
SCD,0.0061327073109664
CCDC80,0.0057068397680982
MCAM,0.00570271316652828
AURKB,0.00526227958177667
PTMS,0.00461626966425779
FASN,0.00458359002593153
FTL,0.0045071025809777
PTMA,0.00436402292348084
UBE2C,0.00390079289673183
SERPINH1,0.00376240498015997
CCNF,0.00368937511520006
NEGR1,0.0036670792460612
NQO1,0.00329495628577874
NPC2,0.00312057398708587
NDC80,0.00303032501054614
INSIG1,0.00297574280236537
NCAPG,0.00294895235047722
MAL,0.00286083714951953
SRRM2,0.00278946496516568
CALM2,0.00276097684190473
PSAT1,0.00265730988383215
SULF2,0.0025908137200338
ACSL3,0.00248738628803328
RDH11,0.00246466451001298
SPARC,0.00227569449569789
FSTL1,0.00223441214661675
FYN,0.00206362801580592
BEST1,0.00200872816389146
FUCA2,0.00153651518862054
EPDR1,0.00139222792636801
HSP90AA1,0.00136146994043941
SLC12A2,0.00129994917132271
SMS,0.00126387679310895
UBC,0.00119555574355928
S100A4,0.00118616169350667
BUD31,0.00116168836610032
CDCA8,0.00113693989412912
GNG12,0.0011231308230463
RAD21,0.00110089066142167
HMGA2,0.0010948929404566
SLIRP,0.000964852723328667
HMGB2,0.000943131025858616
CNBP,0.00090274695814006
FBLIM1,0.000845082028892674
MT1E,0.000822536494822014
MCM2,0.000712855539137559
SPNS1,0.000656360999492534
CD46,0.00064776638571415
ANO1,0.000558789536326145
FDPS,0.000502847818376337
TNFRSF12A,0.00045000716551539
B3GNT3,0.000439673411058632
TOP2A,0.000394281706334946
CD44,0.000367483387633611
INCENP,0.000311054703124894
XPOT,0.00029462896978646
S100A2,0.000220385690378818
C3,0.00018155325741097
WWC1,0.000176168349210918
PRDX5,0.000162523468984497
ARHGEF26,0.000122396366793223
GCSH,0.000101266939238808
PCDH1,0.000100811849460539
MSANTD3,4.45962499092737e-05
RPS6KL1,3.41230953708005e-05
MAP1B,2.93663880522032e-05
FGF2,2.60140914304705e-05
IGFN1,2.39329804986557e-05
LRRFIP1,1.7317664163685e-05
SLC39A10,3.97741134127759e-06
