"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970)","4/15",4.39472706041428e-07,0.000376789512877779,0,0,87.1938663745893,1276.31680542796,"UBE2C;INCENP;CDCA8;AURKB"
"2","Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)","4/17",7.61190935106624e-07,0.000376789512877779,0,0,73.7720111214087,1039.32824483648,"INCENP;CDCA8;AURKB;NDC80"
"3","Regulation Of Mitotic Cytokinesis (GO:1902412)","3/6",1.57504947620351e-06,0.000497676786505097,0,0,237.02380952381,3166.92818221198,"INCENP;CDCA8;AURKB"
"4","Regulation Of Apoptotic Process (GO:0042981)","14/705",2.01081529901049e-06,0.000497676786505097,0,0,5.33489284935472,69.9776310412613,"TOP2A;HSP90AA1;TNFRSF12A;HMGA2;FSTL1;PTMS;PRDX5;CYP1B1;FYN;PPIA;PTMA;CD44;TGM2;MCM2"
"5","Positive Regulation Of Protein Modification Process (GO:0031401)","8/225",6.16943009648901e-06,0.00122154715910482,0,0,9.1913900717494,110.259033765243,"C3;HSP90AA1;INCENP;CDCA8;FGF2;PPIA;CALM2;AURKB"
"6","Positive Regulation Of Phosphorylation (GO:0042327)","8/231",7.48089621564142e-06,0.00123434787558083,0,0,8.94136345575297,105.536325230196,"C3;HSP90AA1;INCENP;CDCA8;FGF2;PPIA;AURKB;FGFR1"
"7","Regulation Of Mitotic Sister Chromatid Separation (GO:0010965)","3/10",9.33205285597298e-06,0.0012663326549828,0,0,101.561224489796,1176.28774273823,"INCENP;CDCA8;AURKB"
"8","Positive Regulation Of Cell Cycle Process (GO:0090068)","6/118",1.26968149468031e-05,0.0012663326549828,0,0,13.0958994708995,147.645257958167,"INCENP;RAD21;NCAPG;CDCA8;AURKB;NDC80"
"9","Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)","3/11",1.27912389392202e-05,0.0012663326549828,0,0,88.8616071428571,1001.18151931999,"INCENP;CDCA8;NDC80"
"10","Positive Regulation Of Spindle Checkpoint (GO:0090232)","3/11",1.27912389392202e-05,0.0012663326549828,0,0,88.8616071428571,1001.18151931999,"INCENP;CDCA8;NDC80"
"11","Regulation Of Protein Phosphorylation (GO:0001932)","8/265",2.02304220642598e-05,0.00181766690955528,0,0,7.74506230606314,83.7111353976466,"C3;HSP90AA1;INCENP;CDCA8;FYN;FGF2;PPIA;AURKB"
"12","Positive Regulation Of Chromosome Separation (GO:1905820)","3/13",2.20323261764276e-05,0.00181766690955528,0,0,71.0821428571429,762.213804452499,"INCENP;CDCA8;NCAPG"
"13","Positive Regulation Of Protein Phosphorylation (GO:0001934)","9/377",3.83629800889706e-05,0.00292148848369853,0,0,6.12823996655518,62.3145032773156,"C3;HSP90AA1;INCENP;CDCA8;FGF2;PPIA;CALM2;CD44;AURKB"
"14","Nuclear Chromosome Segregation (GO:0098813)","3/16",4.27348067774837e-05,0.00302196133640777,0,0,54.6703296703297,550.010677948026,"TOP2A;INCENP;NDC80"
"15","Epithelial To Mesenchymal Transition (GO:0001837)","4/47",5.16450498874797e-05,0.00340857329257366,0,0,22.2695432894368,219.825249676536,"HMGA2;SLC39A10;S100A4;FGFR1"
"16","Cartilage Development (GO:0051216)","4/52",7.7100786829287e-05,0.00477061118506214,0,0,19.9447791164659,188.884977749028,"HMGA2;FGF2;CD44;SULF2"
"17","Mesenchymal Cell Differentiation (GO:0048762)","4/54",8.94721535329225e-05,0.00521043717632902,0,0,19.1450602409639,178.462270274112,"SLC39A10;HMGA2;S100A4;FGFR1"
"18","Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","4/59",0.00012664964035728,0.0069657302196504,0,0,17.4002190580504,156.151062614301,"INCENP;CDCA8;AURKB;NDC80"
