"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Regulation Of Apoptotic Process (GO:0042981)","18/705",1.16715073628388e-08,1.32471608568221e-05,0,0,6.13899243795931,112.135543288518,"TOP2A;HSP90AA1;ANXA1;CITED2;IGFBP3;WNT5A;FSTL1;CFL1;TAX1BP1;CYP1B1;BIRC5;ITGA6;ANP32B;SQSTM1;PPIA;PTMA;CD44;TGM2"
"2","Epithelial Cell Differentiation (GO:0030855)","8/132",3.25150441942447e-07,0.000184522875802339,0,0,13.8681626928471,207.17617547498,"LGALS3;GSTK1;KRT19;ANXA1;PCNA;KRT17;KRT13;FSTL1"
"3","Positive Regulation By Host Of Viral Process (GO:0044794)","4/17",1.3318996202309e-06,0.000503902022987358,0,0,63.7403846153846,862.337566621902,"EEF1A1;KRT17;CFL1;NUCKS1"
"4","Epithelial Cell Migration (GO:0010631)","4/46",8.17122681204673e-05,0.0231858560791826,0,0,19.7003968253968,185.426171255753,"ANLN;S100A2;CYP1B1;FSTL1"
"5","Epithelium Development (GO:0060429)","6/154",0.000124177990511034,0.0235175502681021,0,0,8.51868890166763,76.6153383640727,"LGALS3;GSTK1;KRT19;PCNA;KRT17;KRT13"
"6","Negative Regulation Of Programmed Cell Death (GO:0043069)","9/381",0.000124321851637544,0.0235175502681021,0,0,5.19177596596951,46.687755491243,"ANXA1;CITED2;CFL1;WNT5A;TAX1BP1;BIRC5;PTMA;FSTL1;CD44"
"7","Modulation By Host Of Viral Process (GO:0044788)","3/22",0.000174309995477304,0.0243565818246306,0,0,32.3619099294628,280.081821254999,"KRT17;CFL1;NUCKS1"
"8","Supramolecular Fiber Organization (GO:0097435)","8/316",0.000187680895436919,0.0243565818246306,0,0,5.5313382269904,47.4631267475247,"KRT19;KRT17;TPM3;STMN1;TPM1;KRT13;CYP1B1;ALDOA"
"9","Mitotic Cytokinesis (GO:0000281)","4/59",0.000216842579171967,0.0243565818246306,0,0,15.0340909090909,126.832686102133,"ANLN;CFL1;STMN1;BIRC5"
"10","protein-DNA Complex Organization (GO:0071824)","4/60",0.00023144518216262,0.0243565818246306,0,0,14.764880952381,123.599291667272,"CBX3;HMGB2;NUCKS1;HMGN2"
"11","Glycolipid Transport (GO:0046836)","2/5",0.000245087170998512,0.0243565818246306,0,0,135.353741496599,1125.31701267514,"NPC2;PSAP"
"12","Negative Regulation Of Stress Fiber Assembly (GO:0051497)","3/25",0.000257514521493891,0.0243565818246306,0,0,27.9447047797563,230.947180745545,"STMN1;TACSTD2;PFN1"
"13","Positive Regulation Of DNA Biosynthetic Process (GO:2000573)","4/65",0.000315262658745622,0.0259937819209402,0,0,13.5512295081967,109.251427440495,"CCT6A;HSP90AA1;PCNA;USP1"
"14","Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232)","3/28",0.000362821371980509,0.0259937819209402,0,0,24.5876288659794,194.773359177925,"STMN1;TACSTD2;PFN1"
"15","Hepatocyte Growth Factor Receptor Signaling Pathway (GO:0048012)","2/6",0.000366432168048497,0.0259937819209402,0,0,101.510204081633,803.117990717184,"STMN1;MUC20"
"16","Intracellular Sequestering Of Iron Ion (GO:0006880)","2/6",0.000366432168048497,0.0259937819209402,0,0,101.510204081633,803.117990717184,"FTH1;FTL"
"17","Chromatin Organization (GO:0006325)","7/268",0.00039759310943644,0.0263801229286957,0,0,5.66361801178264,44.3465901284876,"NASP;CBX3;HMGB2;NUCKS1;ANP32B;DEK;HMGN2"
"18","Negative Regulation Of Supramolecular Fiber Organization (GO:1902904)","4/71",0.00044219543361385,0.0263801229286957,0,0,12.3339552238806,95.2644929311874,"LIMA1;TPX2;STMN1;PFN1"
"19","Cellular Response To Reactive Oxygen Species (GO:0034614)","4/73",0.000491583857358747,0.0263801229286957,0,0,11.9752415458937,91.2259293297664,"ANXA1;TPM1;CYP1B1;SQSTM1"
"20","Aromatic Amino Acid Transport (GO:0015801)","2/7",0.00051133277923463,0.0263801229286957,0,0,81.2040816326531,615.404316417306,"SLC7A5;SLC3A2"
"21","Sulfur Amino Acid Transport (GO:0000101)","2/7",0.00051133277923463,0.0263801229286957,0,0,81.2040816326531,615.404316417306,"SLC7A5;SLC3A2"
"22","Thyroid Hormone Transport (GO:0070327)","2/7",0.00051133277923463,0.0263801229286957,0,0,81.2040816326531,615.404316417306,"SLC7A5;SLC3A2"
"23","Regulation Of Stress Fiber Assembly (GO:0051492)","4/75",0.00054477989716172,0.0268837036208066,0,0,11.6367370892019,87.4515769117314,"STMN1;TPM1;TACSTD2;PFN1"
"24","Response To Estrogen (GO:0043627)","3/34",0.000648483947959066,0.0292561676629331,0,0,19.8227469238444,145.516273766311,"KRT19;CITED2;CD24"
"25","DNA Topological Change (GO:0006265)","2/8",0.000679555166686154,0.0292561676629331,0,0,67.6666666666667,493.565548173325,"TOP2A;HMGB2"
"26","Proline Transport (GO:0015824)","2/8",0.000679555166686154,0.0292561676629331,0,0,67.6666666666667,493.565548173325,"SLC7A5;SLC3A2"
