"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Cellular Response To Reactive Oxygen Species (GO:0034614)","6/73",1.7435855822072e-06,0.00167735301041793,0,0,18.8945697046682,250.533810773602,"ANXA1;TPM1;CYP1B1;FYN;ROMO1;SQSTM1"
"2","Modulation By Host Of Viral Process (GO:0044788)","4/22",4.01581434035079e-06,0.00167735301041793,0,0,46.0231481481481,571.850060705401,"KRT17;FASN;CFL1;NUCKS1"
"3","Epithelial Cell Differentiation (GO:0030855)","7/132",4.46896894427512e-06,0.00167735301041793,0,0,11.9075268817204,146.681117547252,"LGALS3;KRT19;ANXA1;PCNA;KRT17;KRT13;FSTL1"
"4","Regulation Of Apoptotic Process (GO:0042981)","14/705",1.07718396550526e-05,0.0030322728628973,0,0,4.52539292565544,51.7640475995192,"TOP2A;ANXA1;IGFBP3;WNT5A;PLK1;FSTL1;NME1;CFL1;CYP1B1;ITGA6;FYN;ANP32B;SQSTM1;TGM2"
"5","Sister Chromatid Segregation (GO:0000819)","4/34",2.43143847923326e-05,0.00547559945523331,0,0,27.5972222222222,293.205098341509,"TOP2A;PLK1;SMC4;ZWINT"
"6","Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912)","3/14",4.24153224447596e-05,0.00795994217879988,0,0,55.9203373945642,563.006006243408,"IGFBP3;SERPINE1;TPM1"
"7","Mitotic Nuclear Division (GO:0140014)","4/45",7.48930003693102e-05,0.0110317455515943,0,0,20.1819105691057,191.717052874824,"UBE2C;PLK1;SMC4;ZWINT"
"8","Positive Regulation By Host Of Viral Process (GO:0044794)","3/17",7.8378298767988e-05,0.0110317455515943,0,0,43.9307805596465,415.319994635002,"KRT17;CFL1;NUCKS1"
"9","Mitotic Sister Chromatid Segregation (GO:0000070)","5/111",0.000238128806757939,0.0242707424248593,0,0,9.82820258192652,81.9937341402188,"TPX2;PRC1;PLK1;SMC4;ZWINT"
"10","Glycolipid Transport (GO:0046836)","2/5",0.000245087170998512,0.0242707424248593,0,0,135.353741496599,1125.31701267514,"NPC2;PSAP"
"11","Spindle Assembly Checkpoint Signaling (GO:0071173)","3/26",0.000290049387363004,0.0242707424248593,0,0,26.7283729269386,217.714875120753,"CENPF;PLK1;ZWINT"
"12","Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)","3/26",0.000290049387363004,0.0242707424248593,0,0,26.7283729269386,217.714875120753,"CENPF;PLK1;ZWINT"
"13","Mitotic Spindle Checkpoint Signaling (GO:0071174)","3/26",0.000290049387363004,0.0242707424248593,0,0,26.7283729269386,217.714875120753,"CENPF;PLK1;ZWINT"
"14","Response To Reactive Oxygen Species (GO:0000302)","4/66",0.000334323110109743,0.0242707424248593,0,0,13.3319892473118,106.70127789939,"TPM1;FYN;ROMO1;SQSTM1"
"15","Negative Regulation Of Cellular Process (GO:0048523)","10/537",0.000356230095826728,0.0242707424248593,0,0,4.08454564621548,32.4310216227392,"FTH1;IGFBP3;TACSTD2;HMGA1;AGR2;CYP1B1;ENO1;ANP32B;NME1;CDKN3"
"16","Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)","3/28",0.000362821371980509,0.0242707424248593,0,0,24.5876288659794,194.773359177925,"CENPF;PLK1;ZWINT"
"17","Intracellular Sequestering Of Iron Ion (GO:0006880)","2/6",0.000366432168048497,0.0242707424248593,0,0,101.510204081633,803.117990717184,"FTH1;FTL"
"18","Chromatin Organization (GO:0006325)","7/268",0.00039759310943644,0.0248716578458573,0,0,5.66361801178264,44.3465901284876,"NASP;CBX3;HMGB2;NUCKS1;ANP32B;DEK;SF3B1"
"19","Aromatic Amino Acid Transport (GO:0015801)","2/7",0.00051133277923463,0.0274171766389616,0,0,81.2040816326531,615.404316417306,"SLC7A5;SLC3A2"
"20","Sulfur Amino Acid Transport (GO:0000101)","2/7",0.00051133277923463,0.0274171766389616,0,0,81.2040816326531,615.404316417306,"SLC7A5;SLC3A2"
"21","Thyroid Hormone Transport (GO:0070327)","2/7",0.00051133277923463,0.0274171766389616,0,0,81.2040816326531,615.404316417306,"SLC7A5;SLC3A2"
"22","Chromosome Condensation (GO:0030261)","3/32",0.000541421069107827,0.0277109147188824,0,0,21.1919658727337,159.391414042061,"TOP2A;PLK1;SMC4"
"23","Cellular Response To Hydrogen Peroxide (GO:0070301)","3/34",0.000648483947959066,0.0294299660649465,0,0,19.8227469238444,145.516273766311,"ANXA1;CYP1B1;FYN"
"24","DNA Topological Change (GO:0006265)","2/8",0.000679555166686154,0.0294299660649465,0,0,67.6666666666667,493.565548173325,"TOP2A;HMGB2"
"25","Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668)","2/8",0.000679555166686154,0.0294299660649465,0,0,67.6666666666667,493.565548173325,"UBE2C;PLK1"
"26","Proline Transport (GO:0015824)","2/8",0.000679555166686154,0.0294299660649465,0,0,67.6666666666667,493.565548173325,"SLC7A5;SLC3A2"
"27","Hormone Transport (GO:0009914)","2/9",0.000870867194754317,0.0338136710790814,0,0,57.997084548105,408.648679561366,"SLC7A5;SLC3A2"
"28","Leucine Transport (GO:0015820)","2/9",0.000870867194754317,0.0338136710790814,0,0,57.997084548105,408.648679561366,"SLC7A5;SLC3A2"
"29","Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629)","2/9",0.000870867194754317,0.0338136710790814,0,0,57.997084548105,408.648679561366,"SERPINE1;CYP1B1"
"30","Positive Regulation Of Cell Adhesion (GO:0045785)","4/88",0.00099466726260602,0.0370228261093622,0,0,9.82936507936508,67.9514062017993,"CCDC80;TPM1;AGR2;TGM2"
"31","Endothelial Cell Migration (GO:0043542)","3/40",0.00104769503107265,0.0370228261093622,0,0,16.6032320980775,113.917477373754,"S100A2;CYP1B1;FSTL1"
"32","Epithelium Development (GO:0060429)","5/154",0.00106081991515856,0.0370228261093622,0,0,6.97668668315083,47.7813259349216,"LGALS3;KRT19;PCNA;KRT17;KRT13"
"33","Branched-Chain Amino Acid Transport (GO:0015803)","2/10",0.00108503842061186,0.0370228261093622,0,0,50.7448979591837,346.391771762865,"SLC7A5;SLC3A2"
"34","Negative Regulation Of Cell Migration (GO:0030336)","5/163",0.00136535948691573,0.0452174935960917,0,0,6.57628247834777,43.3793788845622,"IGFBP3;SERPINE1;TPM1;TACSTD2;CYP1B1"
"35","Positive Regulation Of Programmed Cell Death (GO:0043068)","6/245",0.00145168264895456,0.0456476098764072,0,0,5.25086797827829,34.314589991695,"TOP2A;IGFBP3;CYP1B1;ITGA6;SQSTM1;TGM2"
"36","Regulation Of Fibroblast Proliferation (GO:0048145)","3/46",0.00157518599530849,0.0456476098764072,0,0,14.2821865260129,92.1684043252849,"FTH1;WNT5A;S100A6"
"37","Response To Hydrogen Peroxide (GO:0042542)","3/46",0.00157518599530849,0.0456476098764072,0,0,14.2821865260129,92.1684043252849,"ANXA1;CYP1B1;FYN"
"38","Epithelial Cell Migration (GO:0010631)","3/46",0.00157518599530849,0.0456476098764072,0,0,14.2821865260129,92.1684043252849,"S100A2;CYP1B1;FSTL1"
"39","DNA Conformation Change (GO:0071103)","2/12",0.00158104510229119,0.0456476098764072,0,0,40.5918367346939,261.803918893847,"TOP2A;HMGB2"
"40","Unsaturated Fatty Acid Metabolic Process (GO:0033559)","3/49",0.00189120911437294,0.0532375365695983,0,0,13.3487225459435,83.703684141881,"SCD;CYP1B1;PTGR1"
"41","Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078)","3/51",0.00212229630435684,0.0567128272141313,0,0,12.7912371134021,78.733346844315,"LGALS3;AGR2;SQSTM1"
"42","Centromere Complex Assembly (GO:0034508)","2/14",0.00216576516004231,0.0567128272141313,0,0,33.8231292517007,207.504274169846,"CENPF;NASP"
"43","Positive Regulation Of Histone Acetylation (GO:0035066)","2/14",0.00216576516004231,0.0567128272141313,0,0,33.8231292517007,207.504274169846,"DEK;SF3B1"
"44","Positive Regulation Of Apoptotic Process (GO:0043065)","6/270",0.00236744933821617,0.0593077912402764,0,0,4.74758220502901,28.7036072784506,"TOP2A;IGFBP3;CYP1B1;ITGA6;SQSTM1;TGM2"
"45","Carboxylic Acid Transport (GO:0046942)","3/53",0.00237020480089914,0.0593077912402764,0,0,12.2783505154639,74.219914290735,"SLC7A5;PSAP;SLC3A2"
"46","Positive Regulation Of Transcription By RNA Polymerase III (GO:0045945)","2/15",0.00249083430520832,0.0596740303758418,0,0,31.2197802197802,187.166877082159,"DEK;SF3B1"
"47","Mitotic Chromosome Condensation (GO:0007076)","2/15",0.00249083430520832,0.0596740303758418,0,0,31.2197802197802,187.166877082159,"PLK1;SMC4"
"48","Nuclear Chromosome Segregation (GO:0098813)","2/16",0.00283741499181759,0.0626456721722865,0,0,28.9883381924198,170.012598917729,"TOP2A;CENPF"
"49","Regulation Of Plasminogen Activation (GO:0010755)","2/16",0.00283741499181759,0.0626456721722865,0,0,28.9883381924198,170.012598917729,"SERPINE1;ENO1"
"50","Regulation Of Response To Cytokine Stimulus (GO:0060759)","2/16",0.00283741499181759,0.0626456721722865,0,0,28.9883381924198,170.012598917729,"WNT5A;CD24"
"51","Retinal Metabolic Process (GO:0042574)","2/16",0.00283741499181759,0.0626456721722865,0,0,28.9883381924198,170.012598917729,"ALDH1A3;CYP1B1"
"52","Negative Regulation Of Cell Population Proliferation (GO:0008285)","7/379",0.00294017049317625,0.0636659995253164,0,0,3.95120823216557,23.0327295812366,"FTH1;IGFBP3;WNT5A;HMGA1;CYP1B1;NME1;CDKN3"
"53","Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)","2/17",0.00320528834894988,0.0658984728489357,0,0,27.0544217687075,155.372278725068,"UBE2C;PLK1"
"54","Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758)","2/17",0.00320528834894988,0.0658984728489357,0,0,27.0544217687075,155.372278725068,"DEK;SF3B1"
"55","Mitotic Cytokinesis (GO:0000281)","3/59",0.00321884192423753,0.0658984728489357,0,0,10.959499263623,62.8936470466217,"USP8;CFL1;PLK1"
"56","protein-DNA Complex Organization (GO:0071824)","3/60",0.00337607395601961,0.0678832013299658,0,0,10.7666847531199,61.2736529352707,"CBX3;HMGB2;NUCKS1"
"57","Defense Response To Bacterium (GO:0042742)","5/204",0.00361652081805468,0.0714421480899924,0,0,5.21052631578947,29.2948441427856,"SERPINE1;LCN2;HMGB2;ROMO1;WFDC2"
"58","Regulation Of Smooth Muscle Cell Migration (GO:0014910)","2/19",0.00400404563880334,0.0777337136084924,0,0,23.8691476590636,131.768436654952,"IGFBP3;SERPINE1"
"59","Cellular Response To Oxygen-Containing Compound (GO:1901701)","7/406",0.00428530668531145,0.0817839886044186,0,0,3.6787398604037,20.0585614294484,"SERPINE1;TPM1;WNT5A;HMGB2;ROMO1;SQSTM1;TGM2"
"60","Negative Regulation Of Cell Motility (GO:2000146)","4/133",0.00447938929060026,0.0840632056869316,0,0,6.3859819121447,34.5371052059919,"SERPINE1;TPM1;TACSTD2;CYP1B1"
"61","Skin Development (GO:0043588)","3/68",0.00480405471030925,0.0872478323194873,0,0,9.43774781919112,50.3814818655157,"ANXA1;WNT5A;ITGA6"
"62","Intermediate Filament Organization (GO:0045109)","3/68",0.00480405471030925,0.0872478323194873,0,0,9.43774781919112,50.3814818655157,"KRT19;KRT17;KRT13"
"63","Regulation Of Cell Population Proliferation (GO:0042127)","10/766",0.00497613354212825,0.0880461793952332,0,0,2.81363903586126,14.9210150421865,"PRC1;FTH1;IGFBP3;HMGA1;HMGB2;CYP1B1;ROMO1;SLC25A5;NME1;CDKN3"
