Gene,QUBO_rank
TUBA1B,-0.245234795980349
HMGA1,-0.221232972126386
S100A6,-0.179336115420237
EMP1,-0.166519811830065
TACSTD2,-0.156304507126803
SMC4,-0.147358262608667
FTH1,-0.146705147678237
NUCKS1,-0.142615521707699
ITGA6,-0.141825540990871
ENO1,-0.136402672408542
IGFBP3,-0.133785215023066
MALAT1,-0.130610796119489
TPM1,-0.129060615476426
SLC7A5,-0.123231002077415
HMGB2,-0.116010312645255
LGALS3,-0.115231582483394
HSP90AA1,-0.113308292655517
DTYMK,-0.112554982628095
TGM2,-0.112471951745968
HNRNPA2B1,-0.107837391301079
ANXA1,-0.106653870455805
PDLIM1,-0.104369273559466
CD24,-0.103128487864207
TYMS,-0.100938346137969
FTL,-0.0993676634853179
CBX3,-0.0969898471321955
GSTK1,-0.0952529590772866
DBI,-0.0928354518596712
CCDC80,-0.0921517644779449
PTGR1,-0.0905886981769231
SLC3A2,-0.0900017177982905
DEK,-0.0895850729608158
KRT19,-0.0885979722724011
ANLN,-0.0882504996840542
TUBA1C,-0.0876861823812401
NPC2,-0.0869735084851235
SCD,-0.0859363904259249
TPX2,-0.0835143762615529
PCNA,-0.0829364685847099
TOP2A,-0.0827383731119733
ALDH1A3,-0.0819476896563986
CALB2,-0.0811052551642279
NOP56,-0.08032543534763
ALDOA,-0.080276018902353
TUBB4B,-0.0800450612727967
FSTL1,-0.0788256026083578
ELF3,-0.0784409969921233
NCL,-0.078061995186915
PTMA,-0.075879330131351
CD44,-0.0755465909365162
ACSL3,-0.0754399709008
SQSTM1,-0.0754189455861715
PSMA7,-0.0753127275331359
PFN1,-0.0742659246764413
LCN2,-0.0740755893380831
BIRC5,-0.0733293871872265
WNT5A,-0.0730767313223314
TMSB4X,-0.0722231300121113
KRT17,-0.0721730022517813
CFL1,-0.0721013753203192
KRT13,-0.0718890173869943
CITED2,-0.0717979024663158
GPRC5A,-0.0716820898932442
ALDH3A1,-0.0703782475640299
S100A4,-0.0703545749697561
PSAP,-0.0688218410427784
S100A2,-0.0685056500973704
MUC20,-0.0681292554479946
NEAT1,-0.06804704295355
HMGN2,-0.0675232356586012
FXYD3,-0.0670646741748552
CYCS,-0.0661150146090467
ALPP,-0.0658266238953299
ITGA2,-0.065299175479611
STMN1,-0.0645392536004607
TPM3,-0.0644522880047091
FADS2,-0.0630734914081999
CYP1B1,-0.0627110579558371
TFPI2,-0.0622086140749553
USP1,-0.0615307754220202
SLIRP,-0.0614077843149611
CCND1,-0.0606647526875383
PNRC1,-0.0598872184965687
NASP,-0.0549494209162356
PMEPA1,-0.0533202178098425
WFDC2,-0.0518154364799689
BEST1,-0.0516629970155712
LIMA1,-0.0513457222733178
CALM2,-0.0511344829649935
EEF1A1,-0.0507308537029672
TAX1BP1,-0.0506449450867336
RHOBTB3,-0.0503500875739635
YBX3,-0.0490649412440424
ANP32B,-0.0488408331598607
CAPN8,-0.0483268810054212
CCT6A,-0.0470725381353503
PPIA,-0.0344349379714263
NQO1,-0.0340413349492398
EIF5B,-0.0319403323856971
CSTB,-0.0307543093878069
