Gene,AbsoluteCoefficient
HMGA1,1.75526081428375
TUBA1B,1.28580155572934
SLC7A5,1.02153232211637
S100A6,0.964994610233939
EMP1,0.828124469782997
TPM1,0.749123842214475
TACSTD2,0.622872584232082
TOP2A,0.603151690122984
IGFBP3,0.585402474948145
TGM2,0.560444164364753
NUCKS1,0.550938074441891
MALAT1,0.506361938614881
HMGB2,0.499741680166966
ITGA6,0.497480778538074
CCDC80,0.489326982832954
KRT17,0.45626780362721
SMC4,0.456106912205369
FTH1,0.450799062834284
SERPINE1,0.446963432668775
CYP1B1,0.401750861740548
ANXA1,0.397989117189579
KRT19,0.386690374226372
FXYD3,0.352649989899981
UBE2C,0.34881425735598
CD24,0.334443342620969
PTTG1,0.328827184337805
PSMA7,0.323847200643746
WNT5A,0.32285949719809
PDLIM1,0.319556989364632
CFL1,0.316662621969333
YBX3,0.303395889783968
LCN2,0.302964446710382
FSTL1,0.297803040453961
FTL,0.293284765553892
DTYMK,0.285563370161997
AGR2,0.27348952100912
TPX2,0.270402199970509
TYMS,0.269341818454952
FASN,0.265435835365408
SLC3A2,0.262831639556356
OLR1,0.259683018438536
FADS2,0.257500885512684
PRC1,0.256463134521731
NPC2,0.250128703225917
CENPF,0.247100111792694
DBI,0.245546889581951
DEK,0.242827723516686
PTGR1,0.242413639219213
CBX3,0.24136828529731
TUBA1C,0.240269511235292
ROMO1,0.239923092762101
MT2A,0.237323813018051
WFDC2,0.236585120034847
SCD,0.236478561826823
ACKR3,0.234339604532414
ALDH1A3,0.23155336394147
HNRNPA2B1,0.227836492531171
PLK1,0.226802093498141
ACSL3,0.226099915491791
MIF,0.223552483923462
KRT13,0.222389077323932
GUK1,0.221664191282956
GULP1,0.217471608956936
SQSTM1,0.217214167647395
PCNA,0.215477831865202
ENO1,0.214622636442866
NASP,0.211693864566234
LGALS3,0.209412586525229
ITGA2,0.205476732288068
FYN,0.204554122378602
CALB2,0.203702719013786
PHGDH,0.202924474921029
TFPI2,0.202811179900814
KLK7,0.202124658365978
S100A2,0.200954311998695
GTSE1,0.200476779415739
SKAP2,0.200417606346557
ANP32B,0.199912693473654
NME1,0.199215875376857
YPEL3,0.197310574936219
SNRPB,0.196911041886591
HMMR,0.193515881770765
GOLGB1,0.192914209892545
CDKN3,0.192697337893189
QSOX1,0.192648336628034
CAPN8,0.191738180565275
PSAT1,0.189757609611528
PFN1,0.189401826775525
POLR2F,0.188697117094786
ST13,0.188316114174036
ZWINT,0.187965426460297
SLC25A5,0.187793312061566
USP8,0.186270009662542
PSAP,0.186185920096185
CYCS,0.185948309175835
SEC62,0.185264963130379
SLC2A4RG,0.184498373879925
EEF2,0.183854610403262
SF3B1,0.183182535912783
NEK2,0.183044828964768
