Gene,AbsoluteCoefficient
THY1,0.216278222
KRT10,0.166949499
DYNLT1,0.161562739
ID1,0.141483484
APLN,0.138281925
GNG5,0.136525478
TMA7,0.125243518
PDAP1,0.124608876
CLDN7,0.11435105
EIF2S2,0.111124181
ANP32E,0.110677066
PRR13,0.100237746
KTN1,0.097307742
CDKN1C,0.095972434
HDAC3,0.08988908
FABP5,0.087640873
ARL6IP4,0.082564691
BEX1,0.082418919
SEC62,0.080287585
EIF4E2,0.075602755
LITAF,0.075108042
SFRP1,0.074270143
ETV3L,0.073846954
ARPC3,0.07340501
SHC1,0.067318439
WDR83OS,0.065524578
RPS19BP1,0.065183889
EVA1B,0.064667736
GDF15,0.064189954
MGST3,0.063196215
BCL2L1,0.059425128
FLNC,0.058337571
STK4,0.057429358
DUSP6,0.05621503
HMGB3,0.05610979
TMEM167A,0.055235697
ZFP36L2,0.054081203
PIK3R1,0.05296354
ATP6V0B,0.052719237
PAPOLA,0.048855619
TPM3,0.048316003
PDE4B,0.047879776
CAST,0.047546181
DPYSL2,0.047347742
DPEP1,0.047279021
E2F4,0.047242491
TMBIM4,0.047056168
SAV1,0.046979072
SOX17,0.046925082
COX5B,0.046348511
