Gene,QUBO_rank
DYNLT1,-0.106423497050488
YWHAB,-0.100108958325786
ID1,-0.0987242337733793
APLN,-0.0927028425609502
THY1,-0.0901544458232078
CLDN7,-0.0883325775286951
EIF2S2,-0.0748524839170557
EVA1B,-0.0713972618031352
TMA7,-0.0669266516382772
KRT10,-0.0642641497107793
TRH,-0.0578214771257013
PDAP1,-0.0548953326183891
FABP5,-0.0531894544130898
VIM,-0.0526142376531537
ID3,-0.0515360921145014
ATF5,-0.0496346254598308
GNG5,-0.0487960611206668
RPS19BP1,-0.0457566025816172
ANP32E,-0.0456299734586045
KLK10,-0.0455970415489749
ARPC3,-0.044231377013763
MAP1B,-0.0441799559692855
POMP,-0.0440584094650961
ACTR2,-0.0431155620742782
TUBA1C,-0.0406866878182811
IGFBP5,-0.0405907679150489
S100A3,-0.0398516776865017
HMGB3,-0.0395396017968556
SLC4A11,-0.0385025404007112
PCAT14,-0.0376348355838492
PRR13,-0.0369189841395132
LITAF,-0.0342311125206297
MYL12B,-0.033790825286343
IER2,-0.033345320551729
DRAP1,-0.031905179774053
BEX1,-0.0317391396986731
XRCC5,-0.0311391638422809
DPYSL2,-0.0290968980041261
SFRP1,-0.0287852112176249
SPCS3,-0.0287297449633581
EIF4EBP1,-0.0284417696905609
TP53I11,-0.0283947318688399
NTS,-0.0277198789570151
NAP1L1,-0.027620438931418
GDF15,-0.0275720854326838
RAMP2,-0.0271924429118518
RGS10,-0.0267546923339607
HMGN1,-0.0263623446252291
CD81,-0.0243853313264834
OAZ1,-0.0231679967000581
