Gene,AbsoluteCoefficient
DYNLT1,1.89606835500203
YWHAB,1.68809589455866
THY1,1.6583345178558
CLDN7,1.397532721683
ID1,1.30342921758568
APLN,1.18051140458743
KRT10,1.04443857021818
EVA1B,0.934404522873093
TRH,0.886714914318383
MAP1B,0.767785344500627
IGFBP5,0.650529366096987
PDAP1,0.635678615812231
KLK10,0.624667655572845
RPS19BP1,0.59038653619448
EIF2S2,0.573028184005592
KTN1,0.553239594724366
TMA7,0.523833063009747
S100A3,0.521252294874586
GDF15,0.500173505882478
ATF5,0.484194465565535
VIM,0.476648091010184
PCAT14,0.454757900126607
BEX1,0.450045590869998
SH3BP5,0.403810816183617
CDKN1C,0.40335518978709
RHOC,0.401359306941347
ARPC3,0.396833780727417
TP53I11,0.394308809219726
ADGRL4,0.387708802389612
TUBA1C,0.384358096946742
SLC4A11,0.383422463450238
ISG20,0.368147722155731
HMGB3,0.361539370258136
POMP,0.3601162191729
FABP5,0.349572151916936
SFRP1,0.342939597717404
PRTG,0.331971848981864
HDAC7,0.328649853081706
SOX17,0.327441705717972
SPCS3,0.327295420131893
PLAUR,0.31953552298195
CD81,0.3180442657044
DUSP6,0.314053598267317
SYT1,0.311755925532549
NTS,0.311634817717694
SKIL,0.311430243004485
PDCD6,0.308833255126968
CLIC1,0.306535923128496
ANP32E,0.304418636178459
FGFR1,0.299201007386929
